"tract","Name","Household_Income_rP_gP_pall"
9001035200,"New Canaan, CT",84388
9001045101,"Wilton, CT",81858
9001060400,"Fairfield, CT",80454
9001045200,"Wilton, CT",79370
9001020300,"North Stamford, Stamford, CT",79040
9001035400,"New Canaan, CT",78552
9001045300,"Wilton, CT",76750
9001050100,"Westport, CT",76725
9001245500,"Ridgefield, CT",76687
9001245400,"Ridgefield, CT",74509
9001045400,"Wilton, CT",74423
9001045102,"Wilton, CT",74327
36119012400,"Pound Ridge, NY",74147
9001042900,"Norwalk, CT",73010
9001055200,"Weston, CT",72833
36119012502,"South Salem, NY",72003
9001035100,"New Canaan, CT",71454
9001050300,"Westport, CT",70921
9001240100,"Redding, CT",69348
36119012503,"South Salem, NY",68707
9001245300,"Ridgefield, CT",68668
9001105100,"Easton, CT",68069
9001042500,"Norwalk, CT",67128
9001050200,"Westport, CT",67126
9001055100,"Weston, CT",66686
9001105200,"Easton, CT",64848
9001042600,"Norwalk, CT",64076
9001042700,"Norwalk, CT",50293